FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,3548,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,3495,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,3442,e,Dato stimato
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,7176,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,7086,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,7043,e,Dato stimato
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,6241,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,6192,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,6165,e,Dato stimato
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,6739,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,6698,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,6669,e,Dato stimato
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,12980,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,12890,,
A,Annuale,061018,Casagiove,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,12834,e,Dato stimato
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,10677,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,10820,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,10940,e,Dato stimato
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,10636,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,10677,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,10734,e,Dato stimato
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,21313,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,21497,,
A,Annuale,061019,Casal di Principe,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,21674,e,Dato stimato
A,Annuale,061020,Casaluce,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,4732,,
